Date,Description,Amount,Transaction Type,Category,Account Name
01-01-2020,Rent/ Mortgage,1400.0,debit,Mortgage & Rent,Savings
01-01-2020,Eversource Electricity,72.25,debit,Utilities,Checking
01-01-2020,National Grid Gas,79.64,debit,Utilities,Checking
01-01-2020,Heating fuel,150.64,debit,Utilities,Checking
01-01-2020,Credit Transaction,19.56,credit,Cashback Rewards,Savings
01-03-2020,Mama-cita,73.57,debit,Restaurants,Credit Card
01-03-2020,Ice skating,53.7,debit,Entertainment,Credit Card
01-03-2020,Lyft,12.35,debit,Travel expenses,Credit Card
01-03-2020,Mall,74.45,debit,Shopping,Credit Card
01-03-2020,Ace Hardware,161.2,debit,Grocery shopping,Credit Card
01-03-2020,Dominos,62.96,debit,Restaurants,Credit Card
01-04-2020,Temu,34.5,debit,Shopping,Credit Card
01-04-2020,Credit Transaction,9.07,credit,Cashback Rewards,Savings
01-05-2020,Uber,29.69,debit,Travel expenses,Credit Card
01-05-2020,Temu,21.16,debit,Shopping,Credit Card
01-06-2020,MBTA,21.7,debit,Travel expenses,Credit Card
01-06-2020,Ice skating,63.6,debit,Entertainment,Credit Card
01-06-2020,Credit Transaction,176.42,credit,Dividends,Savings
01-06-2020,Uber,12.82,debit,Travel expenses,Credit Card
01-07-2020,Temu,42.31,debit,Shopping,Credit Card
01-08-2020,Credit Transaction,17.24,credit,Cashback Rewards,Savings
01-10-2020,Karaoke,52.48,debit,Entertainment,Credit Card
01-10-2020,Boston Halal,59.02,debit,Restaurants,Credit Card
01-10-2020,Amazon,49.64,debit,Shopping,Credit Card
01-12-2020,Credit Transaction,182.1,credit,Dividends,Savings
01-12-2020,MBTA,21.61,debit,Travel expenses,Credit Card
01-12-2020,Stop and Shop,245.44,debit,Grocery shopping,Credit Card
01-13-2020,Monthly direct deposit - Salary,6000.0,credit,Salary,Savings
01-14-2020,Uber,10.13,debit,Travel expenses,Credit Card
01-14-2020,Temu,75.73,debit,Shopping,Credit Card
01-15-2020,Boston Halal,79.55,debit,Restaurants,Credit Card
01-15-2020,Trader Joes,189.85,debit,Grocery shopping,Credit Card
01-15-2020,Dominos,63.28,debit,Restaurants,Credit Card
01-17-2020,Credit Transaction,18.37,credit,Cashback Rewards,Savings
01-19-2020,Dominos,49.47,debit,Restaurants,Credit Card
01-19-2020,MBTA,24.64,debit,Travel expenses,Credit Card
01-20-2020,Market Basket,173.96,debit,Grocery shopping,Credit Card
01-21-2020,Ice skating,35.63,debit,Entertainment,Credit Card
01-21-2020,Ace Hardware,237.51,debit,Grocery shopping,Credit Card
01-22-2020,Boston Shawarma,50.04,debit,Restaurants,Credit Card
01-23-2020,Mall,24.49,debit,Shopping,Credit Card
01-24-2020,MBTA,19.79,debit,Travel expenses,Credit Card
01-25-2020,Temu,67.17,debit,Shopping,Credit Card
01-25-2020,Boston Shawarma,33.99,debit,Restaurants,Credit Card
01-27-2020,Lyft,11.03,debit,Travel expenses,Credit Card
01-27-2020,Amazon,28.26,debit,Shopping,Credit Card
01-28-2020,Dominos,40.62,debit,Restaurants,Credit Card
01-29-2020,MBTA,18.52,debit,Travel expenses,Credit Card
01-29-2020,Boston Shawarma,38.15,debit,Restaurants,Credit Card
01-30-2020,Boston Shawarma,28.77,debit,Restaurants,Credit Card
01-31-2020,MBTA,22.52,debit,Travel expenses,Credit Card
01-31-2020,Amazon,79.32,debit,Shopping,Credit Card
02-01-2020,Rent/ Mortgage,1400.0,debit,Mortgage & Rent,Savings
02-01-2020,Eversource Electricity,66.27,debit,Utilities,Checking
02-01-2020,National Grid Gas,70.98,debit,Utilities,Checking
02-01-2020,Heating fuel,247.7,debit,Utilities,Checking
02-02-2020,Ice skating,20.61,debit,Entertainment,Credit Card
02-02-2020,MBTA,19.42,debit,Travel expenses,Credit Card
02-04-2020,Uber,28.09,debit,Travel expenses,Credit Card
02-06-2020,Dominos,78.71,debit,Restaurants,Credit Card
02-06-2020,Credit Transaction,18.85,credit,Cashback Rewards,Savings
02-06-2020,StandUp show,51.59,debit,Entertainment,Credit Card
02-07-2020,Ace Hardware,179.91,debit,Grocery shopping,Credit Card
02-07-2020,Trader Joes,154.8,debit,Grocery shopping,Credit Card
02-09-2020,Stop and Shop,242.39,debit,Grocery shopping,Credit Card
02-10-2020,Stop and Shop,186.8,debit,Grocery shopping,Credit Card
02-10-2020,Dominos,59.88,debit,Restaurants,Credit Card
02-10-2020,Amazon,72.34,debit,Shopping,Credit Card
02-13-2020,Credit Transaction,179.46,credit,Dividends,Savings
02-13-2020,Dominos,69.03,debit,Restaurants,Credit Card
02-13-2020,Trader Joes,162.51,debit,Grocery shopping,Credit Card
02-13-2020,Monthly direct deposit - Salary,6000.0,credit,Salary,Savings
02-14-2020,Amazon,69.01,debit,Shopping,Credit Card
02-14-2020,Market Basket,189.86,debit,Grocery shopping,Credit Card
02-14-2020,Trader Joes,202.67,debit,Grocery shopping,Credit Card
02-14-2020,Uber,16.7,debit,Travel expenses,Credit Card
02-15-2020,Lyft,23.83,debit,Travel expenses,Credit Card
02-16-2020,Credit Transaction,99.21,credit,Dividends,Savings
02-16-2020,StandUp show,25.73,debit,Entertainment,Credit Card
02-16-2020,Uber,13.62,debit,Travel expenses,Credit Card
02-16-2020,Ice skating,54.25,debit,Entertainment,Credit Card
02-17-2020,Lyft,27.19,debit,Travel expenses,Credit Card
02-18-2020,Boston Halal,26.12,debit,Restaurants,Credit Card
02-21-2020,Stop and Shop,176.64,debit,Grocery shopping,Credit Card
02-23-2020,Mama-cita,55.27,debit,Restaurants,Credit Card
02-23-2020,MBTA,15.74,debit,Travel expenses,Credit Card
02-23-2020,Boston Shawarma,25.14,debit,Restaurants,Credit Card
02-24-2020,Credit Transaction,152.01,credit,Dividends,Savings
02-24-2020,Uber,15.74,debit,Travel expenses,Credit Card
02-28-2020,Lyft,16.82,debit,Travel expenses,Credit Card
02-29-2020,Mall,25.33,debit,Shopping,Credit Card
02-29-2020,Mama-cita,27.42,debit,Restaurants,Credit Card
02-29-2020,Boston Halal,27.27,debit,Restaurants,Credit Card
02-29-2020,Ice skating,50.4,debit,Entertainment,Credit Card
03-01-2020,Rent/ Mortgage,1400.0,debit,Mortgage & Rent,Savings
03-01-2020,Eversource Electricity,71.47,debit,Utilities,Checking
03-01-2020,National Grid Gas,52.85,debit,Utilities,Checking
03-01-2020,Heating fuel,179.53,debit,Utilities,Checking
03-01-2020,Stop and Shop,152.12,debit,Grocery shopping,Credit Card
03-02-2020,Market Basket,152.87,debit,Grocery shopping,Credit Card
03-02-2020,Dominos,47.22,debit,Restaurants,Credit Card
03-04-2020,Amazon,50.12,debit,Shopping,Credit Card
03-06-2020,Dominos,62.9,debit,Restaurants,Credit Card
03-06-2020,Boston Halal,58.19,debit,Restaurants,Credit Card
03-06-2020,Boston Shawarma,58.31,debit,Restaurants,Credit Card
03-07-2020,Temu,62.36,debit,Shopping,Credit Card
03-07-2020,Ace Hardware,236.73,debit,Grocery shopping,Credit Card
03-08-2020,Credit Transaction,8.34,credit,Cashback Rewards,Savings
03-09-2020,Mall,64.51,debit,Shopping,Credit Card
03-13-2020,Dominos,73.74,debit,Restaurants,Credit Card
03-13-2020,Monthly direct deposit - Salary,6000.0,credit,Salary,Savings
03-15-2020,Temu,64.26,debit,Shopping,Credit Card
03-16-2020,AMC Boston,24.47,debit,Entertainment,Credit Card
03-17-2020,Boston Shawarma,39.41,debit,Restaurants,Credit Card
03-19-2020,Ace Hardware,183.18,debit,Grocery shopping,Credit Card
03-19-2020,Stop and Shop,234.48,debit,Grocery shopping,Credit Card
03-19-2020,Credit Transaction,5.11,credit,Cashback Rewards,Savings
03-20-2020,Boston Shawarma,58.09,debit,Restaurants,Credit Card
03-21-2020,MBTA,24.28,debit,Travel expenses,Credit Card
03-21-2020,Ice skating,60.39,debit,Entertainment,Credit Card
03-21-2020,Boston Halal,67.06,debit,Restaurants,Credit Card
03-23-2020,Market Basket,200.46,debit,Grocery shopping,Credit Card
03-23-2020,MBTA,24.04,debit,Travel expenses,Credit Card
03-24-2020,Trader Joes,198.91,debit,Grocery shopping,Credit Card
03-25-2020,Stop and Shop,188.78,debit,Grocery shopping,Credit Card
03-26-2020,Mama-cita,79.56,debit,Restaurants,Credit Card
03-27-2020,AMC Boston,28.1,debit,Entertainment,Credit Card
04-01-2020,Rent/ Mortgage,1400.0,debit,Mortgage & Rent,Savings
04-01-2020,Eversource Electricity,65.74,debit,Utilities,Checking
04-01-2020,National Grid Gas,76.65,debit,Utilities,Checking
04-01-2020,Heating fuel,232.29,debit,Utilities,Checking
04-01-2020,MBTA,15.6,debit,Travel expenses,Credit Card
04-02-2020,Credit Transaction,87.39,credit,Dividends,Savings
04-02-2020,Ice skating,40.08,debit,Entertainment,Credit Card
04-02-2020,Credit Transaction,168.73,credit,Dividends,Savings
04-03-2020,Karaoke,22.69,debit,Entertainment,Credit Card
04-03-2020,Ice skating,26.86,debit,Entertainment,Credit Card
04-05-2020,Mall,33.27,debit,Shopping,Credit Card
04-06-2020,Dominos,61.72,debit,Restaurants,Credit Card
04-07-2020,Mall,48.48,debit,Shopping,Credit Card
04-07-2020,Lyft,16.04,debit,Travel expenses,Credit Card
04-07-2020,Ace Hardware,235.12,debit,Grocery shopping,Credit Card
04-07-2020,Credit Transaction,12.6,credit,Cashback Rewards,Savings
04-08-2020,Uber,16.17,debit,Travel expenses,Credit Card
04-08-2020,MBTA,22.79,debit,Travel expenses,Credit Card
04-09-2020,Market Basket,195.81,debit,Grocery shopping,Credit Card
04-09-2020,Amazon,51.83,debit,Shopping,Credit Card
04-10-2020,Boston Halal,73.43,debit,Restaurants,Credit Card
04-10-2020,Lyft,12.11,debit,Travel expenses,Credit Card
04-11-2020,Karaoke,65.71,debit,Entertainment,Credit Card
04-11-2020,Lyft,20.84,debit,Travel expenses,Credit Card
04-12-2020,Dominos,51.09,debit,Restaurants,Credit Card
04-13-2020,Monthly direct deposit - Salary,6000.0,credit,Salary,Savings
04-13-2020,Mama-cita,61.47,debit,Restaurants,Credit Card
04-14-2020,Amazon,52.78,debit,Shopping,Credit Card
04-14-2020,Dominos,34.2,debit,Restaurants,Credit Card
04-15-2020,Mama-cita,69.51,debit,Restaurants,Credit Card
04-17-2020,StandUp show,65.65,debit,Entertainment,Credit Card
04-18-2020,Dominos,55.26,debit,Restaurants,Credit Card
04-19-2020,Boston Shawarma,73.29,debit,Restaurants,Credit Card
04-20-2020,Credit Transaction,183.98,credit,Dividends,Savings
04-20-2020,Stop and Shop,150.59,debit,Grocery shopping,Credit Card
04-20-2020,StandUp show,58.23,debit,Entertainment,Credit Card
04-20-2020,Lyft,13.25,debit,Travel expenses,Credit Card
04-21-2020,Credit Transaction,13.09,credit,Cashback Rewards,Savings
04-23-2020,Credit Transaction,8.95,credit,Cashback Rewards,Savings
04-23-2020,Uber,26.19,debit,Travel expenses,Credit Card
04-24-2020,Amazon,45.8,debit,Shopping,Credit Card
04-24-2020,Credit Transaction,5.83,credit,Cashback Rewards,Savings
04-25-2020,Stop and Shop,178.09,debit,Grocery shopping,Credit Card
04-26-2020,Credit Transaction,191.56,credit,Dividends,Savings
04-26-2020,Amazon,23.9,debit,Shopping,Credit Card
04-27-2020,MBTA,25.14,debit,Travel expenses,Credit Card
04-27-2020,Stop and Shop,195.08,debit,Grocery shopping,Credit Card
04-28-2020,Lyft,14.88,debit,Travel expenses,Credit Card
04-28-2020,Ace Hardware,200.23,debit,Grocery shopping,Credit Card
04-28-2020,Dominos,48.83,debit,Restaurants,Credit Card
04-30-2020,Uber,23.24,debit,Travel expenses,Credit Card
05-01-2020,Rent/ Mortgage,1400.0,debit,Mortgage & Rent,Savings
