Date,Description,Amount,Transaction Type,Category,Account Name
01-01-2020,Rent,1200,debit,Mortgage & Rent,Checking
01-01-2020,Eversource Electricity,68.41,debit,Utilities,Checking
01-01-2020,National Grid Gas,67.23,debit,Utilities,Checking
01-01-2020,Heating fuel,182.99,debit,Utilities,Checking
01-01-2020,Dominos,35.31,debit,Restaurants,Credit Card
01-01-2020,Karaoke,63.3,debit,Entertainment,Credit Card
01-01-2020,Ace Hardware,191.53,debit,Grocery shopping,Credit Card
01-02-2020,Dominos,45.4,debit,Restaurants,Credit Card
01-02-2020,Temu,28.38,debit,Shopping,Credit Card
01-02-2020,Boston Halal,57.47,debit,Restaurants,Credit Card
01-03-2020,Temu,52.51,debit,Shopping,Credit Card
01-03-2020,Credit Transaction,110.75,credit,Dividends,Savings
01-03-2020,Mall,37.27,debit,Shopping,Credit Card
01-03-2020,Boston Shawarma,40.7,debit,Restaurants,Credit Card
01-03-2020,Boston Halal,74.99,debit,Restaurants,Credit Card
01-04-2020,Boston Shawarma,85.92,debit,Restaurants,Credit Card
01-04-2020,Boston Halal,59.6,debit,Restaurants,Credit Card
01-04-2020,Trader Joes,193.04,debit,Grocery shopping,Credit Card
01-05-2020,Boston Shawarma,31.94,debit,Restaurants,Credit Card
01-05-2020,Boston Halal,41.88,debit,Restaurants,Credit Card
01-06-2020,Trader Joes,289.14,debit,Grocery shopping,Credit Card
01-06-2020,Credit Transaction,13.91,credit,Cashback Rewards,Savings
01-07-2020,Amazon,22,debit,Shopping,Credit Card
01-07-2020,Ace Hardware,160.04,debit,Grocery shopping,Credit Card
01-07-2020,Credit Transaction,9.33,credit,Cashback Rewards,Savings
01-07-2020,Stop and Shop,165.14,debit,Grocery shopping,Credit Card
01-08-2020,Ace Hardware,264.01,debit,Grocery shopping,Credit Card
01-08-2020,Boston Halal,46.01,debit,Restaurants,Credit Card
01-08-2020,Dominos,60.35,debit,Restaurants,Credit Card
01-09-2020,Lyft,16.61,debit,Travel expenses,Credit Card
01-09-2020,Boston Halal,68.85,debit,Restaurants,Credit Card
