Date,Description,Amount,Transaction Type,Category,Account Name
01-01-2020,Stop and Shop,150.09,debit,Grocery shopping,Credit Card
01-01-2020,Rent,2400.0,debit,Mortgage & Rent,Checking
01-01-2020,Eversource Electricity,63.77,debit,Utilities,Checking
01-01-2020,National Grid Gas,61.33,debit,Utilities,Checking
01-01-2020,Heating fuel,227.12,debit,Utilities,Checking
01-01-2020,Mama-cita,75.54,debit,Restaurants,Credit Card
01-02-2020,Mama-cita,66.08,debit,Restaurants,Credit Card
01-02-2020,StandUp show,41.27,debit,Entertainment,Credit Card
01-03-2020,Mama-cita,58.72,debit,Restaurants,Credit Card
01-03-2020,Boston Halal,66.47,debit,Restaurants,Credit Card
01-03-2020,Ace Hardware,192.75,debit,Grocery shopping,Credit Card
01-04-2020,Credit Transaction,6.29,credit,Cashback Rewards,Savings
01-04-2020,Stop and Shop,219.59,debit,Grocery shopping,Credit Card
01-04-2020,Market Basket,196.82,debit,Grocery shopping,Credit Card
01-04-2020,Trader Joes,215.03,debit,Grocery shopping,Credit Card
01-04-2020,Ace Hardware,240.85,debit,Grocery shopping,Credit Card
01-05-2020,Ace Hardware,181.84,debit,Grocery shopping,Credit Card
01-05-2020,Trader Joes,178.17,debit,Grocery shopping,Credit Card
01-06-2020,Boston Halal,64.86,debit,Restaurants,Credit Card
01-06-2020,Mall,26.62,debit,Shopping,Credit Card
01-07-2020,Uber,24.15,debit,Travel expenses,Credit Card
01-07-2020,AMC Boston,48.91,debit,Entertainment,Credit Card
01-08-2020,Ace Hardware,196.95,debit,Grocery shopping,Credit Card
01-08-2020,Boston Halal,39.39,debit,Restaurants,Credit Card
01-09-2020,Boston Shawarma,30.17,debit,Restaurants,Credit Card
01-10-2020,Market Basket,239.22,debit,Grocery shopping,Credit Card
01-10-2020,Mall,75.93,debit,Shopping,Credit Card
01-10-2020,Dominos,79.43,debit,Restaurants,Credit Card
01-10-2020,Uber,12.23,debit,Travel expenses,Credit Card
01-11-2020,Boston Shawarma,75.78,debit,Restaurants,Credit Card
01-13-2020,Market Basket,165.77,debit,Grocery shopping,Credit Card
01-13-2020,Stop and Shop,225.18,debit,Grocery shopping,Credit Card
01-13-2020,Ace Hardware,209.31,debit,Grocery shopping,Credit Card
